,ID,Case Number,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,SplitDate,Time,AM/PM,SplitMonth,SplitDay,SplitYear
0,10757168,HZ520087,021XX S HOMAN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1024,10,24,30,08B,1154027,1889575,2016,11/25/2016 03:52:04 PM,41.8528234,-87.71015847,"(41.852823404, -87.710158473)",11/18/2016,9:23:00,AM,11,18,2016
1,10757171,HZ520055,046XX W ADAMS ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,DRIVEWAY - RESIDENTIAL,FALSE,TRUE,1113,11,28,25,08B,1145373,1898719,2016,11/25/2016 03:52:04 PM,41.87808365,-87.74169043,"(41.878083645, -87.741690431)",11/18/2016,7:53:00,AM,11,18,2016
2,10757172,HZ520021,063XX S ST LAWRENCE AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,FALSE,FALSE,312,3,20,42,26,1181322,1863183,2016,11/25/2016 03:52:04 PM,41.77981445,-87.61079249,"(41.779814445, -87.610792489)",11/18/2016,8:50:00,AM,11,18,2016
3,10757175,HZ519968,003XX W CERMAK RD,860,THEFT,RETAIL THEFT,CONVENIENCE STORE,TRUE,FALSE,914,9,25,34,6,1174359,1889753,2016,11/25/2016 03:52:04 PM,41.8528827,-87.63552861,"(41.852882701, -87.635528609)",11/18/2016,7:40:00,AM,11,18,2016
4,10757176,HZ520138,071XX S JEFFERY BLVD,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,333,3,5,43,08A,1190776,1858184,2016,11/25/2016 03:52:04 PM,41.76587359,-87.57629471,"(41.76587359, -87.576294705)",11/18/2016,9:44:00,AM,11,18,2016
5,10757183,HZ520040,013XX S CANAL ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,124,1,2,28,6,1173336,1893976,2016,11/25/2016 03:52:04 PM,41.86449368,-87.639158,"(41.864493678, -87.639158)",11/18/2016,8:32:00,AM,11,18,2016
6,10757185,HZ520167,021XX N BINGHAM ST,1330,CRIMINAL TRESPASS,TO LAND,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,1431,14,1,22,26,1158554,1913769,2016,11/25/2016 03:52:04 PM,41.9191226,-87.69288014,"(41.919122596, -87.692880143)",11/18/2016,10:22:00,AM,11,18,2016
7,10757188,HZ520172,026XX W 64TH ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,OTHER,FALSE,FALSE,825,8,15,66,26,1159670,1862085,2016,11/25/2016 03:52:04 PM,41.7772732,-87.69020194,"(41.777273199, -87.690201936)",11/18/2016,10:15:00,AM,11,18,2016
8,10757189,HZ519951,0000X W CHICAGO AVE,820,THEFT,$500 AND UNDER,OTHER,FALSE,FALSE,1832,18,42,8,6,1175959,1905721,2016,11/25/2016 03:52:04 PM,41.89666404,-87.62917534,"(41.896664035, -87.629175344)",11/18/2016,3:45:00,AM,11,18,2016
9,10757190,HZ520175,001XX N MAYFIELD AVE,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,TRUE,FALSE,1512,15,29,25,18,1137140,1900408,2016,11/25/2016 03:52:04 PM,41.88287025,-87.77187996,"(41.882870247, -87.771879959)",11/18/2016,10:45:00,AM,11,18,2016
10,10757197,HZ520163,018XX S CALIFORNIA AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,TRUE,TRUE,1023,10,28,29,26,1157986,1890861,2016,11/25/2016 03:52:04 PM,41.85627257,-87.69559257,"(41.856272565, -87.695592571)",11/18/2016,9:50:00,AM,11,18,2016
11,10757199,HZ520148,014XX S SPAULDING AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,TRUE,1021,10,24,29,26,1154596,1892954,2016,11/25/2016 03:52:04 PM,41.86208441,-87.70797972,"(41.862084411, -87.707979723)",11/18/2016,9:53:00,AM,11,18,2016
12,10757200,HZ520060,069XX W ADDISON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,TRUE,FALSE,1632,16,36,17,14,1129619,1923154,2016,11/25/2016 03:52:04 PM,41.94541993,-87.79897752,"(41.945419931, -87.798977523)",11/18/2016,7:45:00,AM,11,18,2016
13,10757212,HZ520207,0000X S CICERO AVE,2027,NARCOTICS,POSS: CRACK,ALLEY,TRUE,FALSE,1113,11,28,25,18,1144396,1899403,2016,11/25/2016 03:52:04 PM,41.87997905,-87.74526058,"(41.87997905, -87.745260579)",11/18/2016,10:54:00,AM,11,18,2016
14,10757217,HZ520165,079XX S DREXEL AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,624,6,8,44,5,1183609,1852568,2016,11/25/2016 03:52:04 PM,41.75063282,-87.60273867,"(41.750632815, -87.602738674)",11/18/2016,9:00:00,AM,11,18,2016
15,10757222,HZ520133,064XX S TALMAN AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,FALSE,FALSE,825,8,15,66,15,1159815,1861897,2016,11/25/2016 03:52:04 PM,41.77675432,-87.68967552,"(41.776754324, -87.689675523)",11/18/2016,9:21:00,AM,11,18,2016
16,10757223,HZ520184,049XX W CORNELIA AVE,917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,FALSE,FALSE,1634,16,38,15,7,1142818,1922816,2016,11/25/2016 03:52:04 PM,41.94425638,-87.75047065,"(41.944256383, -87.750470645)",11/18/2016,8:00:00,AM,11,18,2016
17,10757226,HZ520153,050XX S MICHIGAN AVE,460,BATTERY,SIMPLE,OTHER,TRUE,FALSE,224,2,3,38,08B,1178008,1871738,2016,11/25/2016 03:52:04 PM,41.80336596,-87.62268271,"(41.803365964, -87.622682706)",11/18/2016,9:45:00,AM,11,18,2016
18,10757227,HZ520221,053XX S RACINE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,934,9,16,61,15,1169230,1869422,2016,11/25/2016 03:52:04 PM,41.79720525,-87.65494279,"(41.797205251, -87.654942785)",11/18/2016,10:57:00,AM,11,18,2016
19,10757229,HZ520194,0000X S AUSTIN BLVD,810,THEFT,OVER $500,STREET,FALSE,FALSE,1513,15,29,25,6,1136395,1899252,2016,11/25/2016 03:52:04 PM,41.87971137,-87.77464331,"(41.87971137, -87.774643308)",11/18/2016,8:00:00,AM,11,18,2016
20,10757376,HZ520331,029XX S FEDERAL ST,460,BATTERY,SIMPLE,CHA APARTMENT,TRUE,FALSE,133,1,3,35,08B,1176116,1885609,2016,11/25/2016 03:52:04 PM,41.8414719,-87.62920463,"(41.841471897, -87.629204627)",11/18/2016,12:12:00,PM,11,18,2016
21,10757233,HZ520248,052XX S MARSHFIELD AVE,320,ROBBERY,STRONGARM - NO WEAPON,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,932,9,16,61,3,1166233,1869879,2016,11/25/2016 03:52:04 PM,41.79852369,-87.66592016,"(41.79852369, -87.665920163)",11/18/2016,11:00:00,AM,11,18,2016
22,10757237,HZ520239,0000X W KINZIE ST,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,SIDEWALK,TRUE,FALSE,1831,18,42,8,24,1176076,1903017,2016,11/25/2016 03:52:04 PM,41.88924148,-87.62882717,"(41.889241483, -87.628827172)",11/18/2016,11:30:00,AM,11,18,2016
23,10757238,HZ520265,018XX W PERSHING RD,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,TRUE,924,9,12,61,08A,1164567,1878841,2016,11/25/2016 03:52:04 PM,41.82315179,-87.67177674,"(41.823151789, -87.671776738)",11/18/2016,11:45:00,AM,11,18,2016
24,10757240,HZ520152,069XX N ASHLAND BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2431,24,49,1,08B,1164514,1946369,2016,11/25/2016 03:52:04 PM,42.00845413,-87.67005525,"(42.008454129, -87.670055245)",11/18/2016,9:40:00,AM,11,18,2016
25,10757244,HZ520267,054XX S JUSTINE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,934,9,16,61,14,1166928,1868724,2016,11/25/2016 03:52:04 PM,41.7953394,-87.66340446,"(41.795339398, -87.663404464)",11/18/2016,11:00:00,AM,11,18,2016
26,10757249,HZ520208,027XX W CORTEZ ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1211,12,1,24,14,1158017,1906874,2016,11/25/2016 03:52:04 PM,41.90021315,-87.69504167,"(41.900213145, -87.695041666)",11/18/2016,11:12:00,AM,11,18,2016
27,10757250,HZ520078,004XX W 77TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,621,6,17,69,14,1174747,1853874,2016,11/25/2016 03:52:04 PM,41.75441855,-87.6351742,"(41.754418547, -87.635174198)",11/18/2016,7:30:00,AM,11,18,2016
28,10757255,HZ520097,075XX S SOUTH SHORE DR,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,FALSE,TRUE,421,4,7,43,04A,1196126,1856148,2016,11/25/2016 03:52:04 PM,41.76015578,-87.55675291,"(41.76015578, -87.556752911)",11/18/2016,9:45:00,AM,11,18,2016
29,10757260,HZ520192,016XX W 79TH ST,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,TRUE,FALSE,611,6,21,71,26,1166608,1852321,2016,11/25/2016 03:52:04 PM,41.75033427,-87.66504531,"(41.75033427, -87.665045312)",11/18/2016,10:16:00,AM,11,18,2016
30,10757261,HZ520223,071XX S OAKLEY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,832,8,18,66,08B,1162304,1857322,2016,11/25/2016 03:52:04 PM,41.7641484,-87.68067817,"(41.764148399, -87.680678169)",11/18/2016,11:15:00,AM,11,18,2016
31,10757262,HZ520051,008XX E 87TH ST,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,632,6,8,44,08B,1172295,1847224,2016,11/25/2016 03:52:04 PM,41.73622432,-87.64435512,"(41.736224323, -87.644355117)",11/18/2016,8:45:00,AM,11,18,2016
32,10757271,HZ520276,057XX S LOOMIS BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,SIDEWALK,FALSE,FALSE,713,7,16,67,14,1167974,1866787,2016,11/25/2016 03:52:04 PM,41.79000161,-87.65962442,"(41.790001609, -87.659624422)",11/18/2016,11:50:00,AM,11,18,2016
33,10757274,HZ520269,068XX S STONY ISLAND AVE,1330,CRIMINAL TRESPASS,TO LAND,CONVENIENCE STORE,TRUE,FALSE,332,3,5,43,26,1188039,1860017,2016,11/25/2016 03:52:04 PM,41.77096917,-87.58626823,"(41.770969165, -87.586268228)",11/18/2016,10:37:00,AM,11,18,2016
34,10757275,HZ519995,056XX S HERMITAGE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,715,7,15,67,14,1165639,1867358,2016,11/25/2016 03:52:04 PM,41.7916184,-87.66817002,"(41.791618396, -87.668170019)",11/18/2016,8:25:00,AM,11,18,2016
35,10757279,HZ520171,011XX N CLARK ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,1824,18,42,8,6,1175324,1908199,2016,11/25/2016 03:52:04 PM,41.90347807,-87.6314331,"(41.903478069, -87.631433102)",11/18/2016,10:40:00,AM,11,18,2016
36,10757281,HZ520151,046XX W NORTH AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,2533,25,37,25,6,1145011,1910225,2016,11/25/2016 03:52:04 PM,41.90966425,-87.74272882,"(41.909664252, -87.742728815)",11/18/2016,10:10:00,AM,11,18,2016
37,10757284,HZ520227,056XX S PEORIA ST,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,ALLEY,TRUE,FALSE,712,7,16,68,18,1171269,1867439,2016,11/25/2016 03:52:04 PM,41.79171928,-87.64752354,"(41.791719281, -87.647523539)",11/18/2016,11:10:00,AM,11,18,2016
38,10757285,HZ520292,054XX W JACKSON BLVD,820,THEFT,$500 AND UNDER,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,1522,15,29,25,6,1140264,1898137,2016,11/25/2016 03:52:04 PM,41.87658167,-87.760464,"(41.876581674, -87.760463999)",11/18/2016,12:09:00,PM,11,18,2016
39,10757290,HZ520164,0000X N HAMLIN BLVD,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,1122,11,28,26,6,1151064,1899854,2016,11/25/2016 03:52:04 PM,41.88108866,-87.72076449,"(41.881088655, -87.720764494)",11/18/2016,1:45:00,AM,11,18,2016
40,10757298,HZ520245,013XX W 89TH ST,810,THEFT,OVER $500,LIBRARY,FALSE,FALSE,2222,22,21,71,6,1168751,1845781,2016,11/25/2016 03:52:04 PM,41.73234164,-87.65738062,"(41.732341644, -87.657380622)",11/18/2016,11:25:00,AM,11,18,2016
41,10757305,HZ520045,002XX W JACKSON BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,FALSE,FALSE,122,1,2,32,14,1174608,1898949,2016,11/25/2016 03:52:04 PM,41.8781116,-87.63433989,"(41.878111597, -87.634339888)",11/18/2016,8:55:00,AM,11,18,2016
42,10757311,HZ520318,019XX E 95TH ST,890,THEFT,FROM BUILDING,BANK,FALSE,FALSE,413,4,8,51,6,1190646,1842357,2016,11/25/2016 03:52:04 PM,41.72244599,-87.57728088,"(41.722445994, -87.577280883)",11/18/2016,9:00:00,AM,11,18,2016
43,10757317,HZ520147,047XX S WESTERN AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,CTA BUS,TRUE,FALSE,922,9,12,61,04A,1161163,1873342,2016,11/25/2016 03:52:04 PM,41.80813312,-87.68441708,"(41.808133117, -87.684417078)",11/18/2016,10:20:00,AM,11,18,2016
44,10757325,HZ520304,065XX S CALIFORNIA AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,RESIDENCE,TRUE,FALSE,831,8,15,66,18,1158839,1861081,2016,11/25/2016 03:52:04 PM,41.77453509,-87.69327579,"(41.774535092, -87.69327579)",11/18/2016,11:00:00,AM,11,18,2016
45,10757329,HZ520209,066XX S GREENWOOD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,321,3,5,42,14,1184359,1861297,2016,11/25/2016 03:52:04 PM,41.77456853,-87.59971755,"(41.774568527, -87.599717551)",11/18/2016,10:00:00,AM,11,18,2016
46,10757331,HZ520307,102XX S MICHIGAN AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),STREET,TRUE,FALSE,511,5,9,49,18,1179037,1837290,2016,11/25/2016 03:52:04 PM,41.70881339,-87.6199565,"(41.708813391, -87.619956502)",11/18/2016,11:37:00,AM,11,18,2016
47,10757332,HZ520364,041XX W POTOMAC AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,2534,25,37,23,14,1148501,1908338,2016,11/25/2016 03:52:04 PM,41.90441948,-87.72995668,"(41.904419476, -87.729956677)",11/18/2016,9:00:00,AM,11,18,2016
48,10757334,HZ520321,010XX N HARDING AVE,2027,NARCOTICS,POSS: CRACK,STREET,TRUE,FALSE,1112,11,27,23,18,1149866,1906619,2016,11/25/2016 03:52:04 PM,41.89967591,-87.72498739,"(41.899675912, -87.724987394)",11/18/2016,12:15:00,PM,11,18,2016
49,10757340,HZ520371,090XX S BISHOP ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,TRUE,2222,22,21,73,26,1168254,1844763,2016,11/25/2016 03:52:04 PM,41.7295588,-87.65923056,"(41.729558798, -87.659230557)",11/18/2016,11:42:00,AM,11,18,2016
50,10757343,HZ520330,057XX N LINCOLN AVE,810,THEFT,OVER $500,BARBERSHOP,FALSE,FALSE,2011,20,40,2,6,1156301,1938231,2016,11/25/2016 03:52:04 PM,41.98629375,-87.70049429,"(41.986293748, -87.700494291)",11/18/2016,11:30:00,AM,11,18,2016
51,10757345,HZ520342,048XX W CATALPA AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1621,16,45,12,5,1143049,1935849,2016,11/25/2016 03:52:04 PM,41.98001571,-87.74929507,"(41.980015712, -87.749295068)",11/18/2016,12:55:00,PM,11,18,2016
52,10757356,HZ520100,054XX S STATE ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,225,2,3,40,15,1177199,1868999,2016,11/25/2016 03:52:04 PM,41.79586821,-87.62573237,"(41.795868205, -87.625732367)",11/18/2016,8:53:00,AM,11,18,2016
53,10757359,HZ520354,015XX N CICERO AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,2533,25,37,25,6,1144104,1909728,2016,11/25/2016 03:52:04 PM,41.90831752,-87.74607329,"(41.90831752, -87.746073287)",11/18/2016,12:50:00,PM,11,18,2016
54,10757360,HZ520400,011XX N MILWAUKEE AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1213,12,1,24,6,1166176,1907748,2016,11/25/2016 03:52:04 PM,41.90244097,-87.66504844,"(41.902440973, -87.66504844)",11/18/2016,12:00:00,AM,11,18,2016
55,10757361,HZ520026,011XX W WILSON AVE,460,BATTERY,SIMPLE,CTA PLATFORM,FALSE,FALSE,1913,19,46,3,08B,1167628,1930696,2016,11/25/2016 03:52:04 PM,41.96538027,-87.65905209,"(41.965380265, -87.659052093)",11/18/2016,8:54:00,AM,11,18,2016
56,10757368,HZ520182,120XX S HARVARD AVE,143B,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,STREET,TRUE,FALSE,523,5,34,53,15,1176121,1825119,2016,11/25/2016 03:52:04 PM,41.67548015,-87.63099853,"(41.675480147, -87.63099853)",11/18/2016,9:50:00,AM,11,18,2016
